domain_accession,n_species,species_fraction,category,domain_name,description,clan_accession,clan_id
PF00175,20,1.0,core,NAD_binding_1,Oxidoreductase NAD-binding domain ,CL0091,NAD_Ferredoxin
PF00173,20,1.0,core,Cyt-b5,Cytochrome b5-like Heme/Steroid binding domain,,
PF00169,20,1.0,core,PH,PH domain,CL0266,PH
PF00168,20,1.0,core,C2,C2 domain,CL0154,C2
PF00166,20,1.0,core,Cpn10,Chaperonin 10 Kd subunit,CL0296,GroES
PF00164,20,1.0,core,Ribosom_S12_S23,Ribosomal protein S12/S23,CL0021,OB
PF00163,20,1.0,core,Ribosomal_S4,Ribosomal protein S4/S9 N-terminal domain,CL0492,S4
PF00160,20,1.0,core,Pro_isomerase,Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD,CL0475,Cyclophil-like
PF00156,20,1.0,core,Pribosyltran,Phosphoribosyl transferase domain,CL0533,PRTase-like
PF00153,20,1.0,core,Mito_carr,Mitochondrial carrier protein,,
PF00113,20,1.0,core,Enolase_C,"Enolase, C-terminal TIM barrel domain",CL0036,TIM_barrel
PF00152,20,1.0,core,tRNA-synt_2,"tRNA synthetases class II (D, K and N) ",CL0040,tRNA_synt_II
PF00149,20,1.0,core,Metallophos,Calcineurin-like phosphoesterase,CL0163,Calcineurin
PF00137,20,1.0,core,ATP-synt_C,ATP synthase subunit C,,
PF00136,20,1.0,core,DNA_pol_B,DNA polymerase family B,CL0194,DNA_pol_B-like
PF00134,20,1.0,core,Cyclin_N,"Cyclin, N-terminal domain",CL0065,Cyclin
PF00133,20,1.0,core,tRNA-synt_1,"tRNA synthetases class I (I, L, M and V)",CL0039,HUP
PF00125,20,1.0,core,Histone,Core histone H2A/H2B/H3/H4 domain,CL0012,Histone
PF00122,20,1.0,core,E1-E2_ATPase,P-type ATPase actuator domain,,
PF00121,20,1.0,core,TIM,Triosephosphate isomerase,CL0036,TIM_barrel
PF00118,20,1.0,core,Cpn60_TCP1,TCP-1/cpn60 chaperonin family,,
PF00117,20,1.0,core,GATase,Glutamine amidotransferase class-I,CL0014,Glutaminase_I
PF00116,20,1.0,core,COX2,"Cytochrome C oxidase subunit II, periplasmic domain",CL0026,CU_oxidase
PF00344,20,1.0,core,SecY,SecY,CL0376,Oxa1
PF00348,20,1.0,core,polyprenyl_synt,Polyprenyl synthetase,CL0613,Terp_synthase
PF00709,20,1.0,core,Adenylsucc_synt,Adenylosuccinate synthetase,CL0023,P-loop_NTPase
PF00633,20,1.0,core,HHH,Helix-hairpin-helix motif,CL0198,HHH
PF00630,20,1.0,core,Filamin,Filamin/ABP280 repeat,CL0159,E-set
PF00628,20,1.0,core,PHD,PHD-finger,CL0229,RING
PF00627,20,1.0,core,UBA,UBA/TS-N domain,CL0214,UBA
PF00626,20,1.0,core,Gelsolin,Gelsolin repeat,CL0092,ADF
PF00625,20,1.0,core,Guanylate_kin,Guanylate kinase,CL0023,P-loop_NTPase
PF00623,20,1.0,core,RNA_pol_Rpb1_2,"RNA polymerase Rpb1, domain 2",,
PF00622,20,1.0,core,SPRY,SPRY domain,CL0004,Concanavalin
PF00620,20,1.0,core,RhoGAP,RhoGAP domain,CL0409,GAP
PF00613,20,1.0,core,PI3Ka,"Phosphoinositide 3-kinase family, accessory domain (PIK domain)",CL0020,TPR
PF00612,20,1.0,core,IQ,IQ calmodulin-binding motif,CL0220,EF_hand
PF00609,20,1.0,core,DAGK_acc,Diacylglycerol kinase accessory domain,CL0701,NAD_kinase_C
PF00590,20,1.0,core,TP_methylase,Tetrapyrrole (Corrin/Porphyrin) Methylases,,
PF00588,20,1.0,core,SpoU_methylase,SpoU rRNA Methylase family,CL0098,SPOUT
PF00587,20,1.0,core,tRNA-synt_2b,"tRNA synthetase class II core domain (G, H, P, S and T)",CL0040,tRNA_synt_II
PF00586,20,1.0,core,AIRS,"AIR synthase related protein, N-terminal domain",CL0804,PurM_N-like
PF00583,20,1.0,core,Acetyltransf_1,Acetyltransferase (GNAT) family,CL0257,Acetyltrans
PF00581,20,1.0,core,Rhodanese,Rhodanese-like domain,CL0031,Phosphatase
PF00580,20,1.0,core,UvrD-helicase,UvrD/REP helicase N-terminal domain,CL0023,P-loop_NTPase
PF00579,20,1.0,core,tRNA-synt_1b,tRNA synthetases class I (W and Y),CL0039,HUP
PF00578,20,1.0,core,AhpC-TSA,AhpC/TSA family,CL0172,Thioredoxin
PF00575,20,1.0,core,S1,S1 RNA binding domain,CL0021,OB
PF00574,20,1.0,core,CLP_protease,Clp protease,CL0127,ClpP_crotonase
PF00573,20,1.0,core,Ribosomal_L4,Ribosomal protein L4/L1 family,,
PF00572,20,1.0,core,Ribosomal_L13,Ribosomal protein L13,,
PF00567,20,1.0,core,TUDOR,Tudor domain,CL0010,SH3
PF00566,20,1.0,core,RabGAP-TBC,Rab-GTPase-TBC domain,CL0816,TBC-like
PF00565,20,1.0,core,SNase,Staphylococcal nuclease homologue,CL0010,SH3
PF00632,20,1.0,core,HECT,HECT-domain (ubiquitin-transferase),CL0552,Hect
PF00635,20,1.0,core,Motile_Sperm,MSP (Major sperm protein) domain,CL0159,E-set
PF00349,20,1.0,core,Hexokinase_1,Hexokinase,CL0108,Actin_ATPase
PF00637,20,1.0,core,Clathrin,Region in Clathrin and VPS,CL0020,TPR
PF00708,20,1.0,core,Acylphosphatase,Acylphosphatase,CL0622,Acylphosphatase
PF00707,20,1.0,core,IF3_C,"Translation initiation factor IF-3, C-terminal domain",,
PF00705,20,1.0,core,PCNA_N,"Proliferating cell nuclear antigen, N-terminal domain",CL0060,DNA_clamp
PF00704,20,1.0,core,Glyco_hydro_18,Glycosyl hydrolases family 18,CL0036,TIM_barrel
PF00702,20,1.0,core,Hydrolase,haloacid dehalogenase-like hydrolase,CL0137,HAD
PF00698,20,1.0,core,Acyl_transf_1,Acyl transferase domain,CL0323,Patatin
PF00694,20,1.0,core,Aconitase_C,Aconitase C-terminal domain,CL0364,Leu-IlvD
PF00692,20,1.0,core,dUTPase,dUTPase,CL0153,dUTPase
PF00690,20,1.0,core,Cation_ATPase_N,"Cation transporter/ATPase, N-terminus",,
PF00689,20,1.0,core,Cation_ATPase_C,"Cation transporting ATPase, C-terminus",,
PF00687,20,1.0,core,Ribosomal_L1,Ribosomal protein L1p/L10e family,,
PF00684,20,1.0,core,DnaJ_CXXCXGXG,DnaJ central domain,CL0895,DnaJ_CRD
PF00679,20,1.0,core,EFG_C,Elongation factor G C-terminus,CL0437,EF-G_C
PF00676,20,1.0,core,E1_dh,Dehydrogenase E1 component,CL0254,THDP-binding
PF00675,20,1.0,core,Peptidase_M16,Insulinase (Peptidase family M16),CL0094,Peptidase_ME
PF00673,20,1.0,core,Ribosomal_L5_C,ribosomal L5P family C-terminus,,
PF00670,20,1.0,core,AdoHcyase_NAD,"S-adenosyl-L-homocysteine hydrolase, NAD binding domain",CL0063,NADP_Rossmann
PF00667,20,1.0,core,FAD_binding_1,FAD binding domain,CL0866,ALR_C-like
PF00664,20,1.0,core,ABC_membrane,ABC transporter transmembrane region,CL0241,ABC_membrane
PF00658,20,1.0,core,MLLE,MLLE domain,CL0828,PABC-like
PF00656,20,1.0,core,Peptidase_C14,Caspase domain,CL0093,Peptidase_CD
PF00650,20,1.0,core,CRAL_TRIO,CRAL/TRIO domain,CL0512,CRAL_TRIO
PF00648,20,1.0,core,Peptidase_C2,Calpain family cysteine protease,CL0125,Peptidase_CA
PF00647,20,1.0,core,EF1G,"Elongation factor 1 gamma, conserved domain",,
PF00643,20,1.0,core,zf-B_box,B-box zinc finger,CL0782,BBOX
PF00642,20,1.0,core,zf-CCCH,Zinc finger C-x8-C-x5-C-x3-H type (and similar),CL0537,CCCH_zf
PF00638,20,1.0,core,Ran_BP1,RanBP1 domain,CL0266,PH
PF00562,20,1.0,core,RNA_pol_Rpb2_6,"RNA polymerase Rpb2, domain 6",CL0410,LEF-8-like
PF00561,20,1.0,core,Abhydrolase_1,alpha/beta hydrolase fold,CL0028,AB_hydrolase
PF00557,20,1.0,core,Peptidase_M24,Metallopeptidase family M24,,
PF00551,20,1.0,core,Formyl_trans_N,Formyl transferase,,
PF00439,20,1.0,core,Bromodomain,Bromodomain,,
PF00438,20,1.0,core,S-AdoMet_synt_N,"S-adenosylmethionine synthetase, N-terminal domain",,
PF00436,20,1.0,core,SSB,Single-strand binding protein family,CL0021,OB
PF00432,20,1.0,core,Prenyltrans,Prenyltransferase alpha-alpha toroid domain,CL0059,6_Hairpin
PF00428,20,1.0,core,Ribosomal_60s,60s Acidic ribosomal protein,,
PF00416,20,1.0,core,Ribosomal_S13,Ribosomal protein S13/S18,CL0303,H2TH
PF00415,20,1.0,core,RCC1,Regulator of chromosome condensation (RCC1) repeat,CL0186,Beta_propeller
PF00411,20,1.0,core,Ribosomal_S11,Ribosomal protein S11,CL0267,S11_L18p
PF00410,20,1.0,core,Ribosomal_S8,Ribosomal protein S8,,
PF00406,20,1.0,core,ADK,Adenylate kinase,CL0023,P-loop_NTPase
PF00400,20,1.0,core,WD40,"WD domain, G-beta repeat",CL0186,Beta_propeller
PF00398,20,1.0,core,RrnaAD,Ribosomal RNA adenine dimethylase,CL0063,NADP_Rossmann
PF00397,20,1.0,core,WW,WW domain,CL0680,WW
PF00393,20,1.0,core,6PGD,"6-phosphogluconate dehydrogenase, C-terminal domain",CL0106,6PGD_C
PF00388,20,1.0,core,PI-PLC-X,"Phosphatidylinositol-specific phospholipase C, X domain",CL0036,TIM_barrel
PF00387,20,1.0,core,PI-PLC-Y,"Phosphatidylinositol-specific phospholipase C, Y domain",CL0036,TIM_barrel
PF00385,20,1.0,core,Chromo,Chromo (CHRromatin Organisation MOdifier) domain,CL0010,SH3
PF00382,20,1.0,core,TFIIB,Transcription factor TFIIB repeat,CL0065,Cyclin
PF00380,20,1.0,core,Ribosomal_S9,Ribosomal protein S9/S16,CL0329,S5
PF00378,20,1.0,core,ECH_1,Enoyl-CoA hydratase/isomerase,CL0127,ClpP_crotonase
PF00370,20,1.0,core,FGGY_N,"FGGY family of carbohydrate kinases, N-terminal domain",CL0108,Actin_ATPase
PF00366,20,1.0,core,Ribosomal_S17,Ribosomal protein S17,CL0021,OB
PF00365,20,1.0,core,PFK,Phosphofructokinase,CL0240,PFK
PF00364,20,1.0,core,Biotin_lipoyl,Biotin-requiring enzyme,CL0105,Hybrid
PF00355,20,1.0,core,Rieske,Rieske [2Fe-2S] domain,CL0516,ISP-domain
PF00352,20,1.0,core,TBP,"Transcription factor TFIID (or TATA-binding protein, TBP)",CL0407,TBP-like
PF00350,20,1.0,core,Dynamin_N,Dynamin family,CL0023,P-loop_NTPase
PF00443,20,1.0,core,UCH,Ubiquitin carboxyl-terminal hydrolase,CL0125,Peptidase_CA
PF00448,20,1.0,core,SRP54,"SRP54-type protein, GTPase domain",CL0023,P-loop_NTPase
PF00454,20,1.0,core,PI3_PI4_kinase,Phosphatidylinositol 3- and 4-kinase,CL0016,PKinase
PF00498,20,1.0,core,FHA,FHA domain,CL0357,SMAD-FHA
PF00550,20,1.0,core,PP-binding,Phosphopantetheine attachment site,CL0314,PP-binding
PF00549,20,1.0,core,Ligase_CoA,CoA-ligase,CL0506,Succ_CoA_synth
PF00542,20,1.0,core,Ribosomal_L12,Ribosomal protein L7/L12 C-terminal domain,,
PF00535,20,1.0,core,Glycos_transf_2,Glycosyl transferase family 2,CL0110,GT-A
PF00534,20,1.0,core,Glycos_transf_1,Glycosyl transferases group 1,CL0113,GT-B
PF00533,20,1.0,core,BRCT,BRCA1 C Terminus (BRCT) domain,CL0459,BRCT-like
PF00530,20,1.0,core,SRCR,Scavenger receptor cysteine-rich domain,CL0550,SRCR
PF00521,20,1.0,core,DNA_topoisoIV,"DNA gyrase/topoisomerase IV, subunit A",,
PF00515,20,1.0,core,TPR_1,Tetratricopeptide repeat,CL0020,TPR
PF00514,20,1.0,core,Arm,Armadillo/beta-catenin-like repeat,CL0020,TPR
PF00505,20,1.0,core,HMG_box,HMG (high mobility group) box,CL0114,HMG-box
PF00501,20,1.0,core,AMP-binding,AMP-binding enzyme,CL0378,ANL
PF00493,20,1.0,core,MCM,MCM P-loop domain,CL0023,P-loop_NTPase
PF00456,20,1.0,core,Transketolase_N,"Transketolase, thiamine diphosphate binding domain",CL0254,THDP-binding
PF00491,20,1.0,core,Arginase,Arginase family,CL0302,Arginase
PF00488,20,1.0,core,MutS_V,MutS domain V,CL0023,P-loop_NTPase
PF00483,20,1.0,core,NTP_transferase,Nucleotidyl transferase,CL0110,GT-A
PF00481,20,1.0,core,PP2C,Protein phosphatase 2C,CL0238,PP2C
PF00479,20,1.0,core,G6PD_N,"Glucose-6-phosphate dehydrogenase, NAD binding domain",CL0063,NADP_Rossmann
PF00478,20,1.0,core,IMPDH,IMP dehydrogenase / GMP reductase domain,CL0036,TIM_barrel
PF00476,20,1.0,core,DNA_pol_A,DNA polymerase family A,,
PF00472,20,1.0,core,RF-1,RF-1 domain,CL0337,RF
PF00467,20,1.0,core,KOW,KOW motif,CL0010,SH3
PF00466,20,1.0,core,Ribosomal_L10,Ribosomal protein L10,,
PF00464,20,1.0,core,SHMT,Serine hydroxymethyltransferase,CL0061,PLP_aminotran
PF00462,20,1.0,core,Glutaredoxin,Glutaredoxin,CL0172,Thioredoxin
PF01795,20,1.0,core,Methyltransf_5,MraW methylase family,CL0063,NADP_Rossmann
PF01182,20,1.0,core,Glucosamine_iso,Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase,CL0063,NADP_Rossmann
PF02516,20,1.0,core,STT3,"Oligosaccharyl transferase STT3, N-terminal",CL0111,GT-C
PF02628,20,1.0,core,COX15-CtaA,Cytochrome oxidase assembly protein,CL0328,2heme_cytochrom
PF02598,20,1.0,core,Methyltrn_RNA_3,Putative RNA methyltransferase,CL0098,SPOUT
PF02594,20,1.0,core,PF1765-like,PF1765 protein family,,
PF02582,20,1.0,core,DUF155,"RMND1/Sif2-Sif3/Mrx10, DUF155",,
PF02580,20,1.0,core,Tyr_Deacylase,D-Tyr-tRNA(Tyr) deacylase,,
PF02574,20,1.0,core,S-methyl_trans,Homocysteine S-methyltransferase,CL0036,TIM_barrel
PF02545,20,1.0,core,Maf,Maf-like protein,CL0269,Maf
PF02544,20,1.0,core,Steroid_dh,3-oxo-5-alpha-steroid 4-dehydrogenase ,CL0115,Steroid_dh
PF02540,20,1.0,core,NAD_synthase,NAD synthase,CL0039,HUP
PF02536,20,1.0,core,mTERF,mTERF,,
PF02535,20,1.0,core,Zip,ZIP Zinc transporter,CL0184,DMT
PF02518,20,1.0,core,HATPase_c,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",CL0025,His_Kinase_A
PF02493,20,1.0,core,MORN,MORN repeat,CL0251,MORN
PF02492,20,1.0,core,cobW,"CobW/HypB/UreG, nucleotide-binding domain",CL0023,P-loop_NTPase
PF02475,20,1.0,core,TRM5-TYW2_MTfase,TRM5/TYW2 methyltransferase domain,CL0063,NADP_Rossmann
PF02469,20,1.0,core,Fasciclin,Fasciclin domain,,
PF02466,20,1.0,core,Tim17,Tim17/Tim22/Tim23/Pmp24 family,CL0990,Tim22-like
PF02463,20,1.0,core,SMC_N,RecF/RecN/SMC N terminal domain,CL0023,P-loop_NTPase
PF02617,20,1.0,core,ClpS,ATP-dependent Clp protease adaptor protein ClpS,,
PF02629,20,1.0,core,CoA_binding,CoA binding domain,CL0063,NADP_Rossmann
PF02441,20,1.0,core,Flavoprotein,Flavoprotein,,
PF02630,20,1.0,core,SCO1-SenC,SCO1/SenC,CL0172,Thioredoxin
PF02782,20,1.0,core,FGGY_C,"FGGY family of carbohydrate kinases, C-terminal domain",CL0108,Actin_ATPase
PF02781,20,1.0,core,G6PD_C,"Glucose-6-phosphate dehydrogenase, C-terminal domain",CL0139,GADPH_aa-bio_dh
PF02780,20,1.0,core,Transketolase_C,"Transketolase, C-terminal domain",CL0591,TKC_like
PF02779,20,1.0,core,Transket_pyr,"Transketolase, pyrimidine binding domain",CL0254,THDP-binding
PF02777,20,1.0,core,Sod_Fe_C,"Iron/manganese superoxide dismutases, C-terminal domain",,
PF02775,20,1.0,core,TPP_enzyme_C,"Thiamine pyrophosphate enzyme, C-terminal TPP binding domain",CL0254,THDP-binding
PF02773,20,1.0,core,S-AdoMet_synt_C,"S-adenosylmethionine synthetase, C-terminal domain",,
PF02772,20,1.0,core,S-AdoMet_synt_M,"S-adenosylmethionine synthetase, central domain",,
PF02747,20,1.0,core,PCNA_C,"Proliferating cell nuclear antigen, C-terminal domain",CL0060,DNA_clamp
PF02739,20,1.0,core,5_3_exonuc_N,"5'-3' exonuclease, N-terminal resolvase-like domain",CL0280,PIN
PF02732,20,1.0,core,ERCC4,ERCC4 domain,CL0236,PDDEXK
PF02731,20,1.0,core,SKIP_SNW,SKIP/SNW domain,,
PF02729,20,1.0,core,OTCace_N,"Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain",,
PF02714,20,1.0,core,RSN1_7TM,"Calcium-dependent channel, 7TM region, putative phosphate",CL0416,Anoctamin-like
PF02670,20,1.0,core,DXP_reductoisom,1-deoxy-D-xylulose 5-phosphate reductoisomerase,CL0063,NADP_Rossmann
PF02666,20,1.0,core,PS_Dcarbxylase,Phosphatidylserine decarboxylase,CL0105,Hybrid
PF02657,20,1.0,core,SufE,Fe-S metabolism associated domain,CL0233,SufE_NifU
PF02450,20,1.0,core,LCAT,Lecithin:cholesterol acyltransferase,CL0028,AB_hydrolase
PF02430,20,1.0,core,AMA-1,Apical membrane antigen 1,CL0168,PAN
PF02785,20,1.0,core,Biotin_carb_C,Biotin carboxylase C-terminal domain,CL0105,Hybrid
PF02201,20,1.0,core,SWIB,SWIB/MDM2 domain,CL0906,SWIB
PF02181,20,1.0,core,FH2,Formin Homology 2 Domain,,
PF02167,20,1.0,core,Cytochrom_C1,Cytochrome C1 family,CL0318,Cytochrome-c
PF02148,20,1.0,core,zf-UBP,Zn-finger in ubiquitin-hydrolases and other protein,CL0229,RING
PF02146,20,1.0,core,SIR2,Sir2 family,CL0063,NADP_Rossmann
PF02138,20,1.0,core,Beach,Beige/BEACH domain,,
PF02136,20,1.0,core,NTF2,Nuclear transport factor 2 (NTF2) domain,CL0051,NTF2
PF02127,20,1.0,core,Peptidase_M18,Aminopeptidase I zinc metalloprotease (M18),CL0865,ZnExoPePases
PF02121,20,1.0,core,IP_trans,Phosphatidylinositol transfer protein,CL0209,Bet_v_1_like
PF02114,20,1.0,core,Phosducin,Phosducin,CL0172,Thioredoxin
PF02104,20,1.0,core,SURF1,SURF1 family,,
PF02099,20,1.0,core,Josephin,Josephin,CL0125,Peptidase_CA
PF02096,20,1.0,core,60KD_IMP,60Kd inner membrane protein,CL0376,Oxa1
PF02033,20,1.0,core,RBFA,Ribosome-binding factor A,CL0494,DnaA_N
PF02005,20,1.0,core,TRM,"N2,N2-dimethylguanosine tRNA methyltransferase",CL0063,NADP_Rossmann
PF02002,20,1.0,core,TFIIE_alpha,TFIIE alpha subunit,CL0123,HTH
PF01992,20,1.0,core,vATP-synt_AC39,ATP synthase (C/AC39) subunit,,
PF01991,20,1.0,core,vATP-synt_E,ATP synthase (E/31 kDa) subunit,CL0255,ATP_synthase
PF02190,20,1.0,core,LON_substr_bdg,ATP-dependent protease La (LON) substrate-binding domain ,CL0178,PUA
PF02204,20,1.0,core,VPS9,Vacuolar sorting protein 9 (VPS9) domain,CL0785,VPS9
PF02403,20,1.0,core,Seryl_tRNA_N,Seryl-tRNA synthetase N-terminal domain,CL0298,tRNA_bind_arm
PF02212,20,1.0,core,GED,Dynamin GTPase effector domain,,
PF02401,20,1.0,core,LYTB,LytB protein,,
PF02390,20,1.0,core,Methyltransf_4,Putative methyltransferase ,CL0063,NADP_Rossmann
PF02383,20,1.0,core,Syja_N,SacI homology domain,CL0031,Phosphatase
PF02374,20,1.0,core,ArsA_ATPase,Anion-transporting ATPase,CL0023,P-loop_NTPase
PF02359,20,1.0,core,CDC48_N,"Cell division protein 48 (CDC48), N-terminal domain",CL0199,DPBB
PF02338,20,1.0,core,OTU,OTU-like cysteine protease,CL0125,Peptidase_CA
PF02330,20,1.0,core,MAM33,Mitochondrial glycoprotein,,
PF02301,20,1.0,core,HORMA,HORMA domain,CL0651,Mad2
PF02297,20,1.0,core,COX6B,Cytochrome oxidase c subunit VIb,CL0351,CHCH
PF02290,20,1.0,core,SRP14,Signal recognition particle 14kD protein,CL0623,SRP9_14
PF02271,20,1.0,core,UCR_14kD,Ubiquinol-cytochrome C reductase complex 14kD subunit,,
PF02265,20,1.0,core,S1-P1_nuclease,S1/P1 Nuclease,CL0368,PhosC-NucP1
PF02252,20,1.0,core,PA28_C,"Proteasome activator PA28, C-terminal",,
PF02245,20,1.0,core,Pur_DNA_glyco,Methylpurine-DNA glycosylase (MPG),,
PF02233,20,1.0,core,PNTB,NAD(P) transhydrogenase beta subunit,CL0063,NADP_Rossmann
PF02214,20,1.0,core,BTB_2,BTB/POZ domain,CL0033,POZ
PF02213,20,1.0,core,GYF,GYF domain,CL0673,GYF
PF02784,20,1.0,core,Orn_Arg_deC_N,"Pyridoxal-dependent decarboxylase, pyridoxal binding domain",CL0036,TIM_barrel
PF02786,20,1.0,core,CPSase_L_D2,"Carbamoyl-phosphate synthase L chain, ATP binding domain",CL0179,ATP-grasp
PF01988,20,1.0,core,VIT1,VIT family,,
PF03194,20,1.0,core,LUC7,LUC7 N_terminus,,
PF03178,20,1.0,core,CPSF_A,CPSF A subunit region,CL0186,Beta_propeller
PF03167,20,1.0,core,UDG,Uracil DNA glycosylase superfamily,CL0771,UDG-like
PF03159,20,1.0,core,XRN_N,XRN 5'-3' exonuclease N-terminus,CL0280,PIN
PF03152,20,1.0,core,UFD1_N1,"Ubiquitin fusion degradation protein UFD1, N-terminal subdomain 1",CL0199,DPBB
PF03151,20,1.0,core,TPT,Triose-phosphate Transporter family,CL0184,DMT
PF03147,20,1.0,core,FDX-ACB,Ferredoxin-fold anticodon binding domain,,
PF03144,20,1.0,core,GTP_EFTU_D2,Elongation factor Tu domain 2,CL0866,ALR_C-like
PF03143,20,1.0,core,GTP_EFTU_D3,Elongation factor Tu C-terminal domain,CL0740,GCV_T_C
PF03134,20,1.0,core,TB2_DP1_HVA22,"TB2/DP1, HVA22 family",,
PF03133,20,1.0,core,TTL,Tubulin-tyrosine ligase family,CL0179,ATP-grasp
PF03129,20,1.0,core,HGTP_anticodon,Anticodon binding domain,CL0458,IIaaRS-ABD
PF03124,20,1.0,core,EXS,EXS family,CL0182,IT
PF03109,20,1.0,core,ABC1,ABC1 atypical kinase-like domain,CL0016,PKinase
PF03104,20,1.0,core,DNA_pol_B_exo1,"DNA polymerase family B, exonuclease domain",CL0219,RNase_H
PF03097,20,1.0,core,BRO1,BRO1-like domain,CL0020,TPR
PF03095,20,1.0,core,PTPA,Phosphotyrosyl phosphate activator (PTPA) protein,,
PF03092,20,1.0,core,BT1,BT1 family,CL0015,MFS
PF03179,20,1.0,core,V-ATPase_G,Vacuolar (H+)-ATPase G subunit,CL0255,ATP_synthase
PF03199,20,1.0,core,GSH_synthase,Eukaryotic glutathione synthase,CL0063,NADP_Rossmann
PF03062,20,1.0,core,MBOAT,"MBOAT, membrane-bound O-acyltransferase family",CL0517,MBOAT-like
PF03223,20,1.0,core,V-ATPase_C,V-ATPase subunit C,,
PF03463,20,1.0,core,eRF1_1,eRF1 domain 1,CL0267,S11_L18p
PF03462,20,1.0,core,PCRF,PCRF domain,,
PF03439,20,1.0,core,Spt5-NGN,"Early transcription elongation factor of RNA pol II, NGN section",CL0439,NusG-like
PF03416,20,1.0,core,Peptidase_C54,Peptidase C54 catalytic domain,CL0125,Peptidase_CA
PF03381,20,1.0,core,CDC50,LEM3 (ligand-effect modulator 3) family / CDC50 family,,
PF03378,20,1.0,core,CAS_CSE1,"CAS/CSE protein, C-terminus",CL0020,TPR
PF03372,20,1.0,core,Exo_endo_phos,Endonuclease/Exonuclease/phosphatase family,CL0530,DNase_I-like
PF03371,20,1.0,core,PRP38,PRP38 family,,
PF03367,20,1.0,core,Zn_ribbon_ZPR1,ZPR1 zinc-finger domain,CL0167,Zn_Beta_Ribbon
PF03366,20,1.0,core,YEATS,YEATS family,CL0154,C2
PF03357,20,1.0,core,Snf7,Snf7,CL0235,PspA
PF03345,20,1.0,core,OST48_N,"OST48, N-terminal domain",CL0014,Glutaminase_I
PF03343,20,1.0,core,SART-1,SART-1 family,,
PF03259,20,1.0,core,Robl_LC7,Roadblock/LC7 domain,CL0431,PF
PF03256,20,1.0,core,ANAPC10,"Anaphase-promoting complex, subunit 10 (APC10)",CL0202,GBD
PF03248,20,1.0,core,Rer1,Rer1 family,,
PF03226,20,1.0,core,Yippee-Mis18,"Yippee zinc-binding/DNA-binding /Mis18, centromere assembly",CL0080,Beta-tent
PF03074,20,1.0,core,GCS,Glutamate-cysteine ligase,CL0286,GCS
PF03031,20,1.0,core,NIF,NLI interacting factor-like phosphatase,CL0137,HAD
PF02787,20,1.0,core,CPSase_L_D3,"Carbamoyl-phosphate synthetase large chain, oligomerisation domain",CL0123,HTH
PF02881,20,1.0,core,SRP54_N,"SRP54-type protein, helical bundle domain",,
PF02879,20,1.0,core,PGM_PMM_II,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II",CL0754,PGM_I-III
PF02878,20,1.0,core,PGM_PMM_I,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I",CL0754,PGM_I-III
PF02874,20,1.0,core,ATP-synt_ab_N,"ATP synthase alpha/beta family, beta-barrel domain",CL0866,ALR_C-like
PF02867,20,1.0,core,Ribonuc_red_lgC,"Ribonucleotide reductase, barrel domain",CL0339,PFL-like
PF02866,20,1.0,core,Ldh_1_C,"lactate/malate dehydrogenase, alpha/beta C-terminal domain",CL0341,LDH_C
PF02862,20,1.0,core,DDHD,DDHD domain,,
PF02861,20,1.0,core,Clp_N,Clp repeat (R) N-terminal domain,,
PF02852,20,1.0,core,Pyr_redox_dim,"Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain",CL0608,Reductase_C
PF02847,20,1.0,core,MA3,MA3 domain,CL0020,TPR
PF02840,20,1.0,core,Prp18,Prp18 domain,,
PF02824,20,1.0,core,TGS,TGS domain,CL0072,Ubiquitin
PF02812,20,1.0,core,ELFV_dehydrog_N,"Glu/Leu/Phe/Val dehydrogenase, dimerisation domain",CL0603,AA_dh_N
PF02810,20,1.0,core,SEC-C,SEC-C motif,CL0821,C4-like
PF02803,20,1.0,core,Thiolase_C,"Thiolase, C-terminal domain",CL0046,Thiolase
PF02801,20,1.0,core,Ketoacyl-synt_C,"Beta-ketoacyl synthase, C-terminal domain",CL0046,Thiolase
PF02798,20,1.0,core,GST_N,"Glutathione S-transferase, N-terminal domain",CL0172,Thioredoxin
PF02792,20,1.0,core,Mago_nashi,Mago nashi protein,,
PF02880,20,1.0,core,PGM_PMM_III,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III",CL0754,PGM_I-III
PF02883,20,1.0,core,Alpha_adaptinC2,Adaptin C-terminal domain,CL0159,E-set
PF03030,20,1.0,core,H_PPase,Inorganic H+ pyrophosphatase,,
PF02887,20,1.0,core,PK_C,"Pyruvate kinase, alpha/beta domain",CL0947,PK_C
PF03029,20,1.0,core,ATP_bind_1,Conserved hypothetical ATP binding protein,CL0023,P-loop_NTPase
PF03028,20,1.0,core,Dynein_heavy,Dynein heavy chain region D6 P-loop domain ,CL0023,P-loop_NTPase
PF03009,20,1.0,core,GDPD,Glycerophosphoryl diester phosphodiesterase family,CL0036,TIM_barrel
PF02996,20,1.0,core,Prefoldin,Prefoldin subunit,CL0200,Prefoldin
PF02978,20,1.0,core,SRP_SPB,Signal peptide binding domain,CL0123,HTH
